Number of items,Number of operations,Number of arrays
0,0.0,100
100,198.0,100
200,398.0,100
300,598.0,100
400,798.0,100
500,998.0,100
600,1198.0,100
700,1398.0,100
800,1598.0,100
900,1798.0,100
